query,title,year,doi,openalex_id,venue,authors,cited_by_count,is_oa,pdf_url,landing_page_url
VDMOS total ionizing dose,Total Ionizing Dose Effects in 30-V Split-Gate Trench VDMOS,2020,https://doi.org/10.1109/tns.2020.2965286,https://openalex.org/W2999761151,IEEE Transactions on Nuclear Science,Ruidi Wang; Zhixuan Li; Ming Qiao; Xin Zhou; Tianqi Wang; Bo Zhang,29,False,,
VDMOS total ionizing dose,Total ionizing dose effects and annealing behavior for domestic VDMOS devices,2010,https://doi.org/10.1088/1674-4926/31/4/044007,https://openalex.org/W2004291540,Journal of Semiconductors,Bo Gao; YU Xue-feng; Ren Diyuan; Gang Liu; Yiyuan Wang; Sun Jing; Cui Jiangwei,8,False,,
vertical double diffused MOSFET total ionizing dose,Review of Silicon Carbide Processing for Power MOSFET,2022,https://doi.org/10.3390/cryst12020245,https://openalex.org/W4213325984,Crystals,Catherine Langpoklakpam; An-Chen Liu; Kuo-Hsiung Chu; Lung-Hsing Hsu; Wen‐Chung Lee; Shih-Chen Chen; Chia‐Wei Sun; Min‐Hsiung Shih,192,True,https://www.mdpi.com/2073-4352/12/2/245/pdf?version=1644586339,https://doi.org/10.3390/cryst12020245
vertical double diffused MOSFET total ionizing dose,Dosimetry Techniques and Radiation Test Facilities for Total Ionizing Dose Testing,2018,https://doi.org/10.1109/tns.2018.2829864,https://openalex.org/W2800328421,IEEE Transactions on Nuclear Science,Federico Ravotti,77,True,https://ieeexplore.ieee.org/ielx7/23/8438575/08347010.pdf,https://doi.org/10.1109/tns.2018.2829864
power MOSFET total ionizing dose radiation effects,Radiation Effects in MOS Oxides,2008,https://doi.org/10.1109/tns.2008.2001040,https://openalex.org/W2148071019,IEEE Transactions on Nuclear Science,James R. Schwank; M.R. Shaneyfelt; Daniel M. Fleetwood; James A. Felix; P.E. Dodd; Philippe Paillet; Véronique Ferlet-Cavrois,935,False,,
power MOSFET total ionizing dose radiation effects,Investigation of total ionizing dose effects in 4H–SiC power MOSFET under gamma ray radiation,2022,https://doi.org/10.1016/j.radphyschem.2022.110219,https://openalex.org/W4229364803,Radiation Physics and Chemistry,Yabin Sun; Xin Wan; Ziyu Liu; Hu Jin; Junzheng Yan; Xiaojin Li; Yanling Shi,37,False,,
trench power MOSFET total ionizing dose,Total-Ionizing-Dose and Displacement Damage Effects in Trench SiC Power MOSFETs,2024,https://doi.org/10.1109/tns.2024.3508273,https://openalex.org/W4404789081,IEEE Transactions on Nuclear Science,Stefano Bonaldo; C. Martinella; Marta Bagatin; Simone Gerardin; Philipp Natzke; R. Kupper; N. Für; S. Mattiazzo,8,True,,https://doi.org/10.1109/tns.2024.3508273
MOS total ionizing dose oxide trapped charge interface traps,Total ionizing dose effects in MOS oxides and devices,2003,https://doi.org/10.1109/tns.2003.812927,https://openalex.org/W2131271035,IEEE Transactions on Nuclear Science,Timothy R. Oldham; F. B. McLean,932,True,https://ntrs.nasa.gov/api/citations/20030032300/downloads/20030032300.pdf,http://hdl.handle.net/2060/20030032300
VDMOS gamma irradiation threshold voltage shift,The Effect of Operating Conditions on the Radiation Resistance of VDMOS Power FETs,1982,https://doi.org/10.1109/tns.1982.4336404,https://openalex.org/W2042857441,IEEE Transactions on Nuclear Science,S. Seehra; W. Slusark,15,False,,
VDMOS gamma irradiation threshold voltage shift,Investigation of irradiation effects and model parameter extraction for VDMOS field effect transistor exposed to gamma rays,2021,https://doi.org/10.1016/j.radphyschem.2021.109478,https://openalex.org/W3152509608,Radiation Physics and Chemistry,Yabin Sun; Teng Wang; Ziyu Liu; Jun Xu,12,False,,
space VDMOS total dose radiation damage,Simulation of the radiation exposure of microorganisms living in submarine hydrothermal systems using GATE and Geant4-DNA Monte Carlo simulation tools,2023,https://doi.org/10.21175/rad.abstr.book.2023.39.11,https://openalex.org/W4385145355,Book of Abstracts,Giovanna Rosa Fois; Dariana Llanes Vega; Alexis Pereda; Luca Terray; Patrick Chardon; Sofia Kolovi; Vincent Breton; Lydia Maigne,253,True,https://doi.org/10.21175/rad.abstr.book.2023.39.11,http://doi.org/10.21175/rad.abstr.book.2023.39.11
space VDMOS total dose radiation damage,Space radiation damage: calculation of astronauts‘ doses and comparison with dose limits,2023,https://doi.org/10.21175/rad.abstr.book.2023.36.6,https://openalex.org/W4385147101,Book of Abstracts,Ricardo Luis Ramos; Mario Pietro Carante; A. Ferrari; P. Sala; V. Vercesi; F. Ballarini,9,True,https://doi.org/10.21175/rad.abstr.book.2023.36.6,http://doi.org/10.21175/rad.abstr.book.2023.36.6
