case_id,attempt_id,parent_run_id,phase,target_vce_v,actual_vce_v,let_mev_cm2_mg,let_pc_um,y_um,length_um,wt_um,s_s,time_end_s,mesh_variant,tmax_k,t1680_s,t2500_s,peak_ic_a_um,peak_power_w_um,status,run_dir,deck_sha256,mesh_sha256,plt_file,log_file,tdr_file,notes
S00_v100_let10_y3p5,attempt01,NA,smoke,100,100,10,0.1037,3.5,50,0.1,2e-12,2e-9,frozen_bv_existing_mesh,300.167646619,NA,NA,NA,NA,NA,private_case_dir,8d4c1617ffec39a56d938449d8dba4524d1af856abe8fffe0f61c573d38a9655,85ea8a92afcf69108b5ebe6ff2d0a34f3923323973be6915e3f4feb45639053d,transient_smoke.plt,smoke.log_des.log,smoke_final_des.tdr,SMOKE_PARTIAL: syntax and bias passed but no strike-time generation snapshot
S00_v100_let10_y3p5,attempt02,S00_v100_let10_y3p5__attempt01,smoke,100,100,10,0.1037,3.5,50,0.1,2e-12,2e-9,frozen_bv_existing_mesh,NA,NA,NA,2.59047349179e-05,0.00259047349179,NA,private_case_dir,NA,85ea8a92afcf69108b5ebe6ff2d0a34f3923323973be6915e3f4feb45639053d,transient_smoke.plt,smoke.log_des.log,smoke_snap_0001_des.tdr,SMOKE_VALID: generation max 6.8313e29 cm-3 s-1; track depth 0-49.08 um; no SEB classification
A01_v2500_let15_y3p5,attempt01,NA,anchor,2500,2500,15,0.1555,3.5,50,0.1,2e-12,3.37373789429e-8,seb_core_0p2x0p025,325.570712161,NA,NA,1.57865365233e-4,0.394663413082,INDETERMINATE,private_case_dir,84c81fa7429644b770d0d5b903e0cd42126a96ed6fb0eb7f468976a6b44b2d2a,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,transient_case.plt,case.log_des.log,case_snap_0003_des.tdr,time_window_short: reached 33.74 ns with valid bias and complete retained fields
A01_v2500_let15_y3p5,attempt02,A01_v2500_let15_y3p5__attempt01,anchor,2500,NA,15,0.1555,3.5,50,0.1,2e-12,NA,seb_core_0p2x0p025,NA,NA,NA,NA,NA,INDETERMINATE,private_case_dir,41311b0329fb0f7f0b5c81007063aa5da20ee9f69d912fa79b276c31392b69a5,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,NA,case.log_des.log,case_des.tdr,numerical_failure: ordinary Plot TDR was not a valid restart state
A01_v2500_let15_y3p5,attempt03,A01_v2500_let15_y3p5__attempt02,anchor,2500,2500,15,0.1555,3.5,50,0.1,2e-12,5.95830527014e-8,seb_core_0p2x0p025,338.926670474,NA,NA,6.72640491279e-4,1.6816012282,INDETERMINATE,private_case_dir,984c895a93c9aaa25312017a1f960526ddfb3f4f1915ef7e7c6c7f1c93a8e42d,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,transient_case.plt,case.log_des.log,case_snap_0003_des.tdr,time_window_short: true restart created; reached 59.58 ns; 8 threads showed negative scaling
A01_v2500_let15_y3p5,attempt04,A01_v2500_let15_y3p5__attempt03,anchor,2500,2500,15,0.1555,3.5,50,0.1,2e-12,8.19333762393e-8,seb_core_0p2x0p025,395.229382452,NA,NA,0.00317242536956,7.9310634239,INDETERMINATE,private_case_dir,eb8781479988f847e1749643377463cd59f9dd0371efb70ed7d0ad4f9c7a324c,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,transient_case.plt,case.log_des.log,case_snap_0003_des.tdr,time_window_short_and_stiff: stopped normally; 876 Newton retries; no physical break
A01_v2500_let15_y3p5,attempt05,A01_v2500_let15_y3p5__attempt04,diagnostic,2500,2500,15,0.1555,3.5,50,0.1,2e-12,3.96446233692e-8,seb_core_0p2x0p025,326.042362534,NA,NA,1.25757192464e-4,0.31439298116,INDETERMINATE,private_case_dir,25d2ce4020036976c58352a0a30a8ff570d64bd8db71194ad1460d958eb47a4a,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,transient_case.plt,case.log_des.log,case_snap_0003_des.tdr,segmented baseline: 0.4/10/20ns true Save created; budget ended before 40ns
A01_v2500_let15_y3p5,attempt06,A01_v2500_let15_y3p5__attempt05,diagnostic,2500,2500,15,0.1555,3.5,50,0.1,2e-12,4e-8,seb_core_0p2x0p025,326.165514394,NA,NA,1.40076854663e-4,0.350192136658,INDETERMINATE,private_case_dir,8e8bac146fe03f511869c4044aa43ec42614f1a355a18a1413c508f5e8ef620b,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,transient_case.plt,case.log_des.log,checkpoint_40ns_des.sav,diagnostic checkpoint run: 40ns true Save created in 523s
A01_v2500_let15_y3p5,attempt11_input_audit_full_segmented,A01_v2500_let15_y3p5__attempt10_input_audit_full,input_audit,2500,2500,15,0.1555,3.5,50,0.1,2e-12,1.08e-10,seb_core_0p2x0p025,324.633215689,NA,NA,NA,NA,INDETERMINATE,private_case_dir,d617ae461c4687a7b3ac2f505cda617ae21efd8456106a82ef1f42f6219e3087,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,transient_case.plt,case.log_des.log,audit_100ps_des.tdr,input audit only: 92-108ps charge 8.067321pC vs 7.775pC PASS at 5pct
A01_v2500_let15_y3p5,attempt07_A40_60,A01_v2500_let15_y3p5__attempt06,execution_benchmark,2500,2500,15,0.1555,3.5,50,0.1,2e-12,6e-8,seb_core_0p2x0p025,335.777358919,NA,NA,7.60421515043e-4,1.90105378761,INDETERMINATE,private_case_dir,57b669d5a43737f86061246f54d267507649807f82fdcf12724052177083db2d,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,transient_case.plt,case.log_des.log,checkpoint_60ns_des.sav,A baseline completed 40-60ns in 817s with 8 retries
