series_id,variant_axis,variant_value,series_label,bias_v,let_mev_cm2_mg,time_s,ic_a_um,tmax_k,power_w_um,sample_kind,source_path,source_row,classification_scope
baseline,reference,thermal_steady_Wt0.1_Y3.5_baseline_mesh,Reference A01 | Wt=0.1 µm | thermal steady,2500.0,15.0,1e-13,1.31235387962e-07,324.633215689,0.00032808846990500004,raw_transient,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,2,diagnostic_only
baseline,reference,thermal_steady_Wt0.1_Y3.5_baseline_mesh,Reference A01 | Wt=0.1 µm | thermal steady,2500.0,15.0,2.5e-13,1.31249133046e-07,324.633215689,0.000328122832615,raw_transient,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,3,diagnostic_only
baseline,reference,thermal_steady_Wt0.1_Y3.5_baseline_mesh,Reference A01 | Wt=0.1 µm | thermal steady,2500.0,15.0,4.75e-13,1.31249129377e-07,324.633215689,0.0003281228234425,raw_transient,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,4,diagnostic_only
baseline,reference,thermal_steady_Wt0.1_Y3.5_baseline_mesh,Reference A01 | Wt=0.1 µm | thermal steady,2500.0,15.0,8.125e-13,1.31249130844e-07,324.633215689,0.00032812282711,raw_transient,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,5,diagnostic_only
baseline,reference,thermal_steady_Wt0.1_Y3.5_baseline_mesh,Reference A01 | Wt=0.1 µm | thermal steady,2500.0,15.0,1.31875e-12,1.31249131709e-07,324.633215689,0.0003281228292725,raw_transient,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,6,diagnostic_only
baseline,reference,thermal_steady_Wt0.1_Y3.5_baseline_mesh,Reference A01 | Wt=0.1 µm | thermal steady,2500.0,15.0,2.078125e-12,1.31249136959e-07,324.633215689,0.00032812284239750004,raw_transient,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,7,diagnostic_only
baseline,reference,thermal_steady_Wt0.1_Y3.5_baseline_mesh,Reference A01 | Wt=0.1 µm | thermal steady,2500.0,15.0,3.2171875e-12,1.31249132349e-07,324.633215689,0.0003281228308725,raw_transient,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,8,diagnostic_only
baseline,reference,thermal_steady_Wt0.1_Y3.5_baseline_mesh,Reference A01 | Wt=0.1 µm | thermal steady,2500.0,15.0,4.92578125e-12,1.31249133483e-07,324.633215689,0.0003281228337075,raw_transient,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,9,diagnostic_only
baseline,reference,thermal_steady_Wt0.1_Y3.5_baseline_mesh,Reference A01 | Wt=0.1 µm | thermal steady,2500.0,15.0,7.488671875e-12,1.31249134134e-07,324.633215689,0.000328122835335,raw_transient,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,10,diagnostic_only
baseline,reference,thermal_steady_Wt0.1_Y3.5_baseline_mesh,Reference A01 | Wt=0.1 µm | thermal steady,2500.0,15.0,1.13330078125e-11,1.31249133421e-07,324.633215689,0.0003281228335525,raw_transient,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,11,diagnostic_only
baseline,reference,thermal_steady_Wt0.1_Y3.5_baseline_mesh,Reference A01 | Wt=0.1 µm | thermal steady,2500.0,15.0,1.70995117188e-11,1.31249132801e-07,324.633215689,0.0003281228320025,raw_transient,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,12,diagnostic_only
baseline,reference,thermal_steady_Wt0.1_Y3.5_baseline_mesh,Reference A01 | Wt=0.1 µm | thermal steady,2500.0,15.0,2.57492675781e-11,1.31249133e-07,324.633215689,0.0003281228325,raw_transient,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,13,diagnostic_only
baseline,reference,thermal_steady_Wt0.1_Y3.5_baseline_mesh,Reference A01 | Wt=0.1 µm | thermal steady,2500.0,15.0,3.57492675781e-11,1.31249132694e-07,324.633215689,0.00032812283173499997,raw_transient,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,14,diagnostic_only
baseline,reference,thermal_steady_Wt0.1_Y3.5_baseline_mesh,Reference A01 | Wt=0.1 µm | thermal steady,2500.0,15.0,4.57492675781e-11,1.31249134991e-07,324.633215689,0.00032812283747750003,raw_transient,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,15,diagnostic_only
baseline,reference,thermal_steady_Wt0.1_Y3.5_baseline_mesh,Reference A01 | Wt=0.1 µm | thermal steady,2500.0,15.0,5.57492675781e-11,1.3124913342e-07,324.633215689,0.00032812283355000005,raw_transient,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,16,diagnostic_only
baseline,reference,thermal_steady_Wt0.1_Y3.5_baseline_mesh,Reference A01 | Wt=0.1 µm | thermal steady,2500.0,15.0,6.57492675781e-11,1.31249133156e-07,324.633215689,0.00032812283289,raw_transient,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,17,diagnostic_only
baseline,reference,thermal_steady_Wt0.1_Y3.5_baseline_mesh,Reference A01 | Wt=0.1 µm | thermal steady,2500.0,15.0,7.57492675781e-11,1.31249134164e-07,324.633215689,0.00032812283541,raw_transient,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,18,diagnostic_only
baseline,reference,thermal_steady_Wt0.1_Y3.5_baseline_mesh,Reference A01 | Wt=0.1 µm | thermal steady,2500.0,15.0,8.57492675781e-11,1.31249134232e-07,324.633215689,0.00032812283557999997,raw_transient,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,19,diagnostic_only
baseline,reference,thermal_steady_Wt0.1_Y3.5_baseline_mesh,Reference A01 | Wt=0.1 µm | thermal steady,2500.0,15.0,9.57492675781e-11,3.49984953035e-05,324.633215838,0.08749623825875001,raw_transient,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,20,diagnostic_only
baseline,reference,thermal_steady_Wt0.1_Y3.5_baseline_mesh,Reference A01 | Wt=0.1 µm | thermal steady,2500.0,15.0,9.68746337891e-11,6.66764339138e-05,324.633215859,0.1666910847845,raw_transient,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,21,diagnostic_only
baseline,reference,thermal_steady_Wt0.1_Y3.5_baseline_mesh,Reference A01 | Wt=0.1 µm | thermal steady,2500.0,15.0,9.8e-11,2.8053901033e-05,324.63321588,0.0701347525825,raw_transient,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,22,diagnostic_only
baseline,reference,thermal_steady_Wt0.1_Y3.5_baseline_mesh,Reference A01 | Wt=0.1 µm | thermal steady,2500.0,15.0,9.82e-11,1.33835611591e-05,324.633215884,0.03345890289775,raw_transient,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,23,diagnostic_only
baseline,reference,thermal_steady_Wt0.1_Y3.5_baseline_mesh,Reference A01 | Wt=0.1 µm | thermal steady,2500.0,15.0,9.84e-11,6.34309260021e-06,324.633215888,0.015857731500525,raw_transient,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,24,diagnostic_only
baseline,reference,thermal_steady_Wt0.1_Y3.5_baseline_mesh,Reference A01 | Wt=0.1 µm | thermal steady,2500.0,15.0,9.86e-11,3.31591054375e-06,324.633215892,0.008289776359375,raw_transient,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,25,diagnostic_only
