sample_kind,thermal_variant_id,run_id,segment_id,time_s,time_ns,dt_s,collector_inner_voltage_v,ic_a_um,tmax_k,tpre_k,delta_t_k,power_w_um,cumulative_port_energy_j_um,d_log_ic_dt_s_inv,d_delta_t_dt_k_s,left_source_row,left_source_time_s,right_source_row,right_source_time_s,diagnostic_only
derived_linear_grid,R1_THERMO_COUPLED_TCONT300,A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a,pre_strike_0p1ps,1e-13,0.0001,0.0,2500.0,1.31235387961e-07,324.633215689,324.633215689,0.0,0.00032808846990250003,0.0,NA,NA,2,1e-13,2,1e-13,True
derived_linear_grid,R1_THERMO_COUPLED_TCONT300,A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a,pre_strike_0p1ps,2e-13,0.0002,1e-13,2500.0,1.3124454765633333e-07,324.633215689,324.633215689,0.0,0.00032811136914083337,3.280999195216667e-17,523499910.8338911,0.0,2,1e-13,3,2.5e-13,True
derived_linear_grid,R1_THERMO_COUPLED_TCONT300,A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a,pre_strike_0p1ps,3.0000000000000003e-13,0.00030000000000000003,1e-13,2500.0,1.312491290231111e-07,324.633215689,324.633215689,0.0,0.00032812282255777783,6.562170153709723e-17,174648205.06241095,0.0,3,2.5e-13,4,4.75e-13,True
derived_linear_grid,R1_THERMO_COUPLED_TCONT300,A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a,pre_strike_0p1ps,4e-13,0.0004,1e-13,2500.0,1.3124913206133333e-07,324.633215689,324.633215689,0.0,0.00032812283015333336,9.843398417265279e-17,192672.88209334764,0.0,3,2.5e-13,4,4.75e-13,True
derived_linear_grid,R1_THERMO_COUPLED_TCONT300,A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a,pre_strike_0p1ps,5e-13,0.0005,1e-13,2500.0,1.3124913408074074e-07,324.633215689,324.633215689,0.0,0.0003281228352018519,1.3124626744041205e-16,37423.88621219561,0.0,4,4.75e-13,5,8.125e-13,True
derived_linear_grid,R1_THERMO_COUPLED_TCONT300,A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a,pre_strike_0p1ps,6e-13,0.0006,1e-13,2500.0,1.312491330437037e-07,324.633215689,324.633215689,0.0,0.00032812283260925923,1.640585508309676e-16,-79012.86736000657,0.0,4,4.75e-13,5,8.125e-13,True
derived_linear_grid,R1_THERMO_COUPLED_TCONT300,A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a,pre_strike_0p1ps,7e-13,0.0007,1e-13,2500.0,1.3124913200666667e-07,324.633215689,324.633215689,0.0,0.00032812283001666664,1.9687083396226389e-16,-79012.87624179076,0.0,4,4.75e-13,5,8.125e-13,True
derived_linear_grid,R1_THERMO_COUPLED_TCONT300,A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a,pre_strike_0p1ps,8e-13,0.0008,1e-13,2500.0,1.3124913096962962e-07,324.633215689,324.633215689,0.0,0.00032812282742407405,2.2968311683430094e-16,-38749.234931856336,0.0,4,4.75e-13,5,8.125e-13,True
derived_linear_grid,R1_THERMO_COUPLED_TCONT300,A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a,pre_strike_0p1ps,9e-13,0.0009,1e-13,2500.0,1.3124913098950617e-07,324.633215689,324.633215689,0.0,0.00032812282747376537,2.624953995791929e-16,7266.365287250665,0.0,5,8.125e-13,6,1.31875e-12,True
derived_linear_grid,R1_THERMO_COUPLED_TCONT300,A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a,pre_strike_0p1ps,1e-12,0.001,1e-13,2500.0,1.3124913116037037e-07,324.633215689,324.633215689,0.0,0.0003281228279009259,2.9530768234792747e-16,13018.31531463904,0.0,5,8.125e-13,6,1.31875e-12,True
