time_s,collector_inner_voltage_v,collector_total_current_a_um,plt_tmax_k
1e-13,2500.0,1.31235387961e-07,
2.5e-13,2500.0,1.31249127504e-07,
4.75e-13,2500.0,1.31249134341e-07,
8.125e-13,2500.0,1.3124913084e-07,
1.31875e-12,2500.0,1.31249131706e-07,
2.078125e-12,2500.0,1.31249136956e-07,
3.2171875e-12,2500.0,1.31249132346e-07,
4.92578125e-12,2500.0,1.31249133481e-07,
7.488671875e-12,2500.0,1.31249134133e-07,
1.13330078125e-11,2500.0,1.31249133422e-07,
1.70995117188e-11,2500.0,1.31249132803e-07,
2.57492675781e-11,2500.0,1.31249133002e-07,
3.57492675781e-11,2500.0,1.31249132697e-07,
4.57492675781e-11,2500.0,1.31249134994e-07,
5.57492675781e-11,2500.0,1.31249133424e-07,
6.57492675781e-11,2500.0,1.3124913316e-07,
7.57492675781e-11,2500.0,1.31249134166e-07,
8.57492675781e-11,2500.0,1.31249133962e-07,
9.57492675781e-11,2500.0,3.49989153508e-05,
9.8e-11,2500.0,4.63190700697e-05,
9.82e-11,2500.0,2.16721472743e-05,
9.84e-11,2500.0,9.60675504938e-06,
9.86e-11,2500.0,4.47742839824e-06,
9.88e-11,2500.0,2.485405502e-06,
9.9e-11,2500.0,1.75489640214e-06,
9.92e-11,2500.0,1.49036239955e-06,
9.94e-11,2500.0,1.38916997155e-06,
9.96e-11,2500.0,1.345041526e-06,
9.98e-11,2500.0,1.32205862069e-06,
1e-10,2500.0,1.30771566614e-06,
1.002e-10,2500.0,1.29712743184e-06,
1.004e-10,2500.0,1.28809532925e-06,
1.006e-10,2500.0,1.27962496807e-06,
1.008e-10,2500.0,1.27141388775e-06,
1.01e-10,2500.0,1.26353943294e-06,
1.012e-10,2500.0,1.25620006231e-06,
1.014e-10,2500.0,1.24955240644e-06,
1.016e-10,2500.0,1.24365492795e-06,
1.018e-10,2500.0,1.23847960534e-06,
1.02e-10,2500.0,1.23394203938e-06,
1.022e-10,2500.0,1.22992257977e-06,
1.0248e-10,2500.0,1.22529794282e-06,
1.02872e-10,2500.0,1.21987406167e-06,
1.034208e-10,2500.0,1.21275040885e-06,
1.0418912e-10,2500.0,1.20247833736e-06,
1.05264768e-10,2500.0,1.18961593779e-06,
1.067706752e-10,2500.0,1.17542469189e-06,
1.0887894528e-10,2500.0,1.15812570797e-06,
1.11830523392e-10,2500.0,1.13850521765e-06,
1.15962732749e-10,2500.0,1.11857914588e-06,
1.21747825848e-10,2500.0,1.10285883023e-06,
1.29846956188e-10,2500.0,1.09515796955e-06,
1.41185738663e-10,2500.0,1.09405563226e-06,
1.57060034128e-10,2500.0,1.09119984071e-06,
1.79284047779e-10,2500.0,1.0822199411e-06,
2.1039766689e-10,2500.0,1.07251660424e-06,
2.53956733647e-10,2500.0,1.0686110618e-06,
3.14939427105e-10,2500.0,1.07253538104e-06,
4e-10,2500.0,1.08433059112e-06,
4.1e-10,2500.0,1.08515905227e-06,
4.24e-10,2500.0,1.08677380311e-06,
4.436e-10,2500.0,1.08949795595e-06,
4.7104e-10,2500.0,1.09378661377e-06,
5.09456e-10,2500.0,1.10037809821e-06,
5.632384e-10,2500.0,1.11043756674e-06,
6.3853376e-10,2500.0,1.12593379281e-06,
7.43947264e-10,2500.0,1.15044050601e-06,
8.915261696e-10,2500.0,1.18645790874e-06,
1.09813663744e-09,2500.0,1.24512751857e-06,
1.38739129242e-09,2500.0,1.34442214911e-06,
1.79234780938e-09,2500.0,1.51155397357e-06,
2.35928693314e-09,2500.0,1.78196832677e-06,
3.15300170639e-09,2500.0,2.16814380211e-06,
4.26420238895e-09,2500.0,2.70313398567e-06,
5.81988334452e-09,2500.0,3.63271293897e-06,
7.99783668233e-09,2500.0,5.53825190793e-06,
1e-08,2500.0,7.85484178962e-06,
1.001e-08,2500.0,7.86608296644e-06,
1.0024e-08,2500.0,7.88201994446e-06,
1.00436e-08,2500.0,7.9044553974e-06,
1.007104e-08,2500.0,7.93602053216e-06,
1.0109456e-08,2500.0,7.98046503903e-06,
1.01632384e-08,2500.0,8.04313765077e-06,
1.023853376e-08,2500.0,8.13170536679e-06,
1.0343947264e-08,2500.0,8.25724114355e-06,
1.04915261696e-08,2500.0,8.43589114186e-06,
1.06981366374e-08,2500.0,8.69143378991e-06,
1.09873912924e-08,2500.0,9.05933675464e-06,
1.13923478094e-08,2500.0,9.5946765701e-06,
1.19592869331e-08,2500.0,1.03853459732e-05,
1.27530017064e-08,2500.0,1.15634225145e-05,
1.38642023889e-08,2500.0,1.33314163972e-05,
1.54198833445e-08,2500.0,1.59974553893e-05,
1.75978366823e-08,2500.0,2.01454863208e-05,
2.06469713553e-08,2500.0,2.70637654917e-05,
2.27813656263e-08,2500.0,3.25401144747e-05,
2.57695176058e-08,2500.0,4.20723650839e-05,
2.78612239914e-08,2500.0,4.98577539602e-05,
3.07896129313e-08,2500.0,6.39967159347e-05,
3.48893574471e-08,2500.0,9.39870132328e-05,
4e-08,2500.0,0.000154028566338,
4.001e-08,2500.0,0.000153976828909,
4.0024e-08,2500.0,0.000153963413089,
4.00436e-08,2500.0,0.000154051308431,
4.007104e-08,2500.0,0.000154319722437,
4.0109456e-08,2500.0,0.000154820623273,
4.01632384e-08,2500.0,0.00015555630308,
4.023853376e-08,2500.0,0.000156508041697,
4.0343947264e-08,2500.0,0.000157730090671,
4.04915261696e-08,2500.0,0.000159424247311,
4.06981366374e-08,2500.0,0.000161854722087,
4.09873912924e-08,2500.0,0.00016533264055,
4.13923478094e-08,2500.0,0.000170362216861,
