diagnostic_type,comparison_axis,variant,time_ns,metric,value,unit,comparator,delta,gate,interpretation,conclusion_scope,source_path
heavyion_charge_closure,full_pulse_charge,Wt0.1_um,92-108_ps,integrated_charge,8.0673213028,pC,7.775,3.7597595215699995,PASS,总电荷闭合排除明显输入电荷错误，但不验证局部沉积分布唯一正确,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/heavyion_charge_audit.csv
solver_ablation,solver_controls,A,40-60,wall_s_per_advanced_ns,40.85,s/ns,40.85,0.000000%,ACCEPTED,COMPLETE; physical_equivalence=BASELINE,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/solver_benchmark_summary.csv
solver_ablation,solver_controls,B1,40-60,wall_s_per_advanced_ns,51.85,s/ns,40.85,26.927785%,REJECTED,COMPLETE; physical_equivalence=PASS,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/solver_benchmark_summary.csv
solver_ablation,solver_controls,B2,40-60,wall_s_per_advanced_ns,102.164045,s/ns,40.85,150.095581%,REJECTED,TIME_BUDGET_EXHAUSTED; physical_equivalence=NOT_ASSESSABLE,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/solver_benchmark_summary.csv
solver_ablation,solver_controls,B3,40-60,wall_s_per_advanced_ns,37.497,s/ns,40.85,-8.208078%,REJECTED,COMPLETE; physical_equivalence=PASS,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/solver_benchmark_summary.csv
mesh_sensitivity,track_core_mesh,meshhalf_vs_baseline,10,ic_relative_difference,0.048859278970625475,%,2% acceptance gate,1.1645238879999624 K Tmax difference,PASS,晚时刻电流差异用于网格门，不直接作 SEB 分类,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/a01_meshhalf_transient_comparison.csv
mesh_sensitivity,track_core_mesh,meshhalf_vs_baseline,40,ic_relative_difference,-0.058126883143094776,%,2% acceptance gate,1.156078349999973 K Tmax difference,PASS,晚时刻电流差异用于网格门，不直接作 SEB 分类,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/a01_meshhalf_transient_comparison.csv
mesh_sensitivity,track_core_mesh,meshhalf_vs_baseline,50,ic_relative_difference,-6.187480971175541,%,2% acceptance gate,0.5502012478523284 K Tmax difference,FAIL_MESH_SENSITIVE,晚时刻电流差异用于网格门，不直接作 SEB 分类,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/a01_meshhalf_transient_comparison.csv
mesh_sensitivity,track_core_mesh,meshhalf_vs_baseline,60,ic_relative_difference,-15.225299035818718,%,2% acceptance gate,2.396688659000006 K Tmax difference,FAIL_MESH_SENSITIVE,晚时刻电流差异用于网格门，不直接作 SEB 分类,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/a01_meshhalf_transient_comparison.csv
local_field_evidence,track_core_mesh,baseline,40,emax_v_cm,58907.9747972,V/cm,same metric on adjacent mesh,NA,MESH_SENSITIVE,局部雪崩—寄生 NPN 代理量尚未形成网格无关因果链,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/a01_field_evidence.csv
local_field_evidence,track_core_mesh,baseline,40,impact_line_integral_cm2_s,133130.00852052195,cm^-2 s^-1,same metric on adjacent mesh,NA,MESH_SENSITIVE,局部雪崩—寄生 NPN 代理量尚未形成网格无关因果链,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/a01_field_evidence.csv
local_field_evidence,track_core_mesh,baseline,40,pbody_minus_nplus_proxy_v,-0.16107972887200006,V,same metric on adjacent mesh,NA,MESH_SENSITIVE,局部雪崩—寄生 NPN 代理量尚未形成网格无关因果链,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/a01_field_evidence.csv
local_field_evidence,track_core_mesh,meshhalf,40,emax_v_cm,233603.854567,V/cm,same metric on adjacent mesh,NA,MESH_SENSITIVE,局部雪崩—寄生 NPN 代理量尚未形成网格无关因果链,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/a01_field_evidence.csv
local_field_evidence,track_core_mesh,meshhalf,40,impact_line_integral_cm2_s,4.0589997895881466e+19,cm^-2 s^-1,same metric on adjacent mesh,NA,MESH_SENSITIVE,局部雪崩—寄生 NPN 代理量尚未形成网格无关因果链,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/a01_field_evidence.csv
local_field_evidence,track_core_mesh,meshhalf,40,pbody_minus_nplus_proxy_v,1.2609900017445002,V,same metric on adjacent mesh,NA,MESH_SENSITIVE,局部雪崩—寄生 NPN 代理量尚未形成网格无关因果链,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/a01_field_evidence.csv
local_field_evidence,track_core_mesh,baseline,60,emax_v_cm,103514.918168,V/cm,same metric on adjacent mesh,NA,MESH_SENSITIVE,局部雪崩—寄生 NPN 代理量尚未形成网格无关因果链,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/a01_field_evidence.csv
local_field_evidence,track_core_mesh,baseline,60,impact_line_integral_cm2_s,3.145697590924473e+17,cm^-2 s^-1,same metric on adjacent mesh,NA,MESH_SENSITIVE,局部雪崩—寄生 NPN 代理量尚未形成网格无关因果链,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/a01_field_evidence.csv
local_field_evidence,track_core_mesh,baseline,60,pbody_minus_nplus_proxy_v,0.613104513492,V,same metric on adjacent mesh,NA,MESH_SENSITIVE,局部雪崩—寄生 NPN 代理量尚未形成网格无关因果链,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/a01_field_evidence.csv
local_field_evidence,track_core_mesh,meshhalf,60,emax_v_cm,189971.225459,V/cm,same metric on adjacent mesh,NA,MESH_SENSITIVE,局部雪崩—寄生 NPN 代理量尚未形成网格无关因果链,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/a01_field_evidence.csv
local_field_evidence,track_core_mesh,meshhalf,60,impact_line_integral_cm2_s,1.9623851209983286e+21,cm^-2 s^-1,same metric on adjacent mesh,NA,MESH_SENSITIVE,局部雪崩—寄生 NPN 代理量尚未形成网格无关因果链,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/a01_field_evidence.csv
local_field_evidence,track_core_mesh,meshhalf,60,pbody_minus_nplus_proxy_v,1.02945374844,V,same metric on adjacent mesh,NA,MESH_SENSITIVE,局部雪崩—寄生 NPN 代理量尚未形成网格无关因果链,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/a01_field_evidence.csv
wt_hi_sensitivity,radial_width,0.1_um,60,ic_difference_vs_wt0p1,0.0,%,Wt0.1_um,3.7598% charge error,PASS,展宽改变晚时刻幅值，但所有变体仍持续增长,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/a01_wt_hi_sensitivity.csv
wt_hi_sensitivity,radial_width,0.2_um,60,ic_difference_vs_wt0p1,-18.60542495513158,%,Wt0.1_um,4.340256900313591% charge error,PASS,展宽改变晚时刻幅值，但所有变体仍持续增长,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/a01_wt_hi_sensitivity.csv
wt_hi_sensitivity,radial_width,0.5_um,60,ic_difference_vs_wt0p1,-18.090631677645398,%,Wt0.1_um,4.588934996300709% charge error,PASS,展宽改变晚时刻幅值，但所有变体仍持续增长,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/a01_wt_hi_sensitivity.csv
