folder_id,registry_case_id,registry_attempt_id,parent_run_id,phase,role,eligibility,status,registry_presence,folder_presence,parameter_attempt_id,parameter_phase,metadata_status,deck_sha256,mesh_sha256,source_path,folder_path,parameter_path
S00_v100_let10_y3p5__attempt01,S00_v100_let10_y3p5,attempt01,NA,smoke,input_smoke,smoke_only,NA,REGISTERED,PRESENT,attempt01,smoke,MATCH,8d4c1617ffec39a56d938449d8dba4524d1af856abe8fffe0f61c573d38a9655,85ea8a92afcf69108b5ebe6ff2d0a34f3923323973be6915e3f4feb45639053d,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/S00_v100_let10_y3p5__attempt01,local_runtime/igbt_seb_full_20260712_035027/cases/S00_v100_let10_y3p5__attempt01/parameters.json
S00_v100_let10_y3p5__attempt02,S00_v100_let10_y3p5,attempt02,S00_v100_let10_y3p5__attempt01,smoke,input_smoke,smoke_only,NA,REGISTERED,PRESENT,attempt02,smoke,MATCH,NA,85ea8a92afcf69108b5ebe6ff2d0a34f3923323973be6915e3f4feb45639053d,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/S00_v100_let10_y3p5__attempt02,local_runtime/igbt_seb_full_20260712_035027/cases/S00_v100_let10_y3p5__attempt02/parameters.json
A01_v2500_let15_y3p5__attempt01,A01_v2500_let15_y3p5,attempt01,NA,anchor,anchor_attempt,anchor_observation_only,INDETERMINATE,REGISTERED,PRESENT,attempt01,anchor,MATCH,84c81fa7429644b770d0d5b903e0cd42126a96ed6fb0eb7f468976a6b44b2d2a,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt01,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt01/parameters.json
A01_v2500_let15_y3p5__attempt02,A01_v2500_let15_y3p5,attempt02,A01_v2500_let15_y3p5__attempt01,anchor,anchor_attempt,anchor_observation_only,INDETERMINATE,REGISTERED,PRESENT,attempt02,anchor,MATCH,41311b0329fb0f7f0b5c81007063aa5da20ee9f69d912fa79b276c31392b69a5,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt02,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt02/parameters.json
A01_v2500_let15_y3p5__attempt03,A01_v2500_let15_y3p5,attempt03,A01_v2500_let15_y3p5__attempt02,anchor,anchor_attempt,anchor_observation_only,INDETERMINATE,REGISTERED,PRESENT,attempt03,anchor,MATCH,984c895a93c9aaa25312017a1f960526ddfb3f4f1915ef7e7c6c7f1c93a8e42d,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt03,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt03/parameters.json
A01_v2500_let15_y3p5__attempt04,A01_v2500_let15_y3p5,attempt04,A01_v2500_let15_y3p5__attempt03,anchor,anchor_attempt,anchor_observation_only,INDETERMINATE,REGISTERED,PRESENT,attempt04,anchor,MATCH,eb8781479988f847e1749643377463cd59f9dd0371efb70ed7d0ad4f9c7a324c,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/parameters.json
A01_v2500_let15_y3p5__attempt05,A01_v2500_let15_y3p5,attempt05,A01_v2500_let15_y3p5__attempt04,diagnostic,failure_recovery,diagnostic_only,INDETERMINATE,REGISTERED,PRESENT,attempt05,segmented_baseline,METADATA_CONFLICT:phase,25d2ce4020036976c58352a0a30a8ff570d64bd8db71194ad1460d958eb47a4a,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt05,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt05/parameters.json
A01_v2500_let15_y3p5__attempt06,A01_v2500_let15_y3p5,attempt06,A01_v2500_let15_y3p5__attempt05,diagnostic,failure_recovery,diagnostic_only,INDETERMINATE,REGISTERED,PRESENT,attempt06,NA,MATCH,8e8bac146fe03f511869c4044aa43ec42614f1a355a18a1413c508f5e8ef620b,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt06,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt06/parameters.json
A01_v2500_let15_y3p5__attempt11_input_audit_full_segmented,A01_v2500_let15_y3p5,attempt11_input_audit_full_segmented,A01_v2500_let15_y3p5__attempt10_input_audit_full,input_audit,input_audit,input_audit_only,INDETERMINATE,REGISTERED,PRESENT,attempt03,anchor,METADATA_CONFLICT:attempt_id+phase,d617ae461c4687a7b3ac2f505cda617ae21efd8456106a82ef1f42f6219e3087,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt11_input_audit_full_segmented,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt11_input_audit_full_segmented/parameters.json
A01_v2500_let15_y3p5__attempt07_A40_60,A01_v2500_let15_y3p5,attempt07_A40_60,A01_v2500_let15_y3p5__attempt06,execution_benchmark,performance_probe,performance_only,INDETERMINATE,REGISTERED,PRESENT,attempt06,NA,METADATA_CONFLICT:attempt_id,57b669d5a43737f86061246f54d267507649807f82fdcf12724052177083db2d,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt07_A40_60,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt07_A40_60/parameters.json
A01_v2500_let15_y3p5__attempt08_B1_40_60,A01_v2500_let15_y3p5,attempt08_B1_40_60,A01_v2500_let15_y3p5__attempt07_A40_60,execution_benchmark,performance_probe,performance_only,INDETERMINATE,REGISTERED,PRESENT,attempt06,NA,METADATA_CONFLICT:attempt_id,3a7b1f395a192734590eb796d9f565bdb28cd03f7c3a839dcdf6e15ccafd270c,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt08_B1_40_60,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt08_B1_40_60/parameters.json
A01_v2500_let15_y3p5__attempt09_B2_40_60,A01_v2500_let15_y3p5,attempt09_B2_40_60,A01_v2500_let15_y3p5__attempt08_B1_40_60,execution_benchmark,performance_probe,performance_only,INDETERMINATE,REGISTERED,PRESENT,attempt06,NA,METADATA_CONFLICT:attempt_id,c4c9516019ddd2e5464f909ebf2dbb1230a213543cbf0644f779f39ab05bf983,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt09_B2_40_60,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt09_B2_40_60/parameters.json
A01_v2500_let15_y3p5__attempt10_B3_40_60,A01_v2500_let15_y3p5,attempt10_B3_40_60,A01_v2500_let15_y3p5__attempt07_A40_60,execution_benchmark,performance_probe,performance_only,INDETERMINATE,REGISTERED,PRESENT,attempt06,NA,METADATA_CONFLICT:attempt_id,5c5e7ae3449c17b471d2f314b21395a55faeac3ed509250c26a2a5accbfea555,5c7c098706bcf07dc2656a1bfd547aea3415b02167d6afb0439c0a28f35f5265,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt10_B3_40_60,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt10_B3_40_60/parameters.json
A01_v2500_let15_y3p5__attempt12_meshhalf_dc_bias,A01_v2500_let15_y3p5,attempt12_meshhalf_dc_bias,NA,mesh_sensitivity_dc_bias,failure_recovery,diagnostic_only,INDETERMINATE,REGISTERED,PRESENT,attempt12_meshhalf_dc_bias,mesh_sensitivity_dc_bias,MATCH,ae802c90f5f6849f0d854ddc9f536ccaa43c2cd196c53ce247ba290959ba4c30,eaffd57700f0d3b29264ff13204b51dc8d07063221cb542f7e1d20d2f650d268,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/case_summary.csv,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt12_meshhalf_dc_bias,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt12_meshhalf_dc_bias/parameters.json
