time_s,collector_inner_voltage_v,collector_total_current_a_um,tmax_k
1e-13,2500.0,1.30343088781e-07,300.000002939
2.5e-13,2500.0,1.30358649285e-07,300.000006421
4.75e-13,2500.0,1.30358664306e-07,300.000010564
8.125e-13,2500.0,1.30358656829e-07,300.000015534
1.31875e-12,2500.0,1.30358661742e-07,300.000021527
2.078125e-12,2500.0,1.30358666673e-07,300.000028756
3.2171875e-12,2500.0,1.30358661423e-07,300.000037448
4.92578125e-12,2500.0,1.30358660623e-07,300.000047952
7.488671875e-12,2500.0,1.3035866218e-07,300.000060576
1.13330078125e-11,2500.0,1.30358662089e-07,300.00007594
1.70995117188e-11,2500.0,1.30358661945e-07,300.000094695
2.57492675781e-11,2500.0,1.30358659572e-07,300.000117643
3.57492675781e-11,2500.0,1.30358659713e-07,300.000139998
4.57492675781e-11,2500.0,1.30358660845e-07,300.000159522
5.57492675781e-11,2500.0,1.30358660196e-07,300.000176978
6.57492675781e-11,2500.0,1.30358659723e-07,300.000192841
7.57492675781e-11,2500.0,1.30358658488e-07,300.000207433
8.57492675781e-11,2500.0,1.30358659105e-07,300.000220981
9.57492675781e-11,2500.0,1.78371089755e-07,300.000234525
9.8e-11,2500.0,5.84526043439e-07,300.000329711
9.82e-11,2500.0,6.57044394539e-07,300.000355228
9.84e-11,2500.0,7.36471642504e-07,300.000385022
9.86e-11,2500.0,8.22545255438e-07,300.000419407
9.88e-11,2500.0,9.1488723687e-07,300.000458672
9.9e-11,2500.0,1.01296192889e-06,300.000503099
9.92e-11,2500.0,1.116085017e-06,300.000552906
9.94e-11,2500.0,1.22343523548e-06,300.000608202
9.96e-11,2500.0,1.33407249683e-06,300.000669073
9.98e-11,2500.0,1.44696181687e-06,300.000735544
1e-10,2500.0,1.56100214875e-06,300.000807569
1.002e-10,2500.0,1.6750583309e-06,300.000885039
1.004e-10,2500.0,1.78799478639e-06,300.000967774
1.006e-10,2500.0,1.89870903327e-06,300.001055538
1.008e-10,2500.0,2.00616407597e-06,300.001148035
1.01e-10,2500.0,2.10941711589e-06,300.001244919
1.012e-10,2500.0,2.20764390647e-06,300.001345806
