time_s,collector_inner_voltage_v,collector_total_current_a_um,tmax_k
1e-13,2500.0,1.31235387961e-07,324.633215689
2.5e-13,2500.0,1.31249127504e-07,324.633215689
4.75e-13,2500.0,1.3124913434e-07,324.633215689
8.125e-13,2500.0,1.3124913084e-07,324.633215689
1.31875e-12,2500.0,1.31249131705e-07,324.633215689
2.078125e-12,2500.0,1.31249136954e-07,324.633215689
3.2171875e-12,2500.0,1.31249132345e-07,324.633215689
4.92578125e-12,2500.0,1.31249133479e-07,324.633215689
7.488671875e-12,2500.0,1.3124913413e-07,324.633215689
1.13330078125e-11,2500.0,1.31249133418e-07,324.633215689
1.70995117188e-11,2500.0,1.31249132798e-07,324.633215689
2.57492675781e-11,2500.0,1.31249132996e-07,324.633215689
3.57492675781e-11,2500.0,1.31249132691e-07,324.633215689
4.57492675781e-11,2500.0,1.31249134988e-07,324.633215689
5.57492675781e-11,2500.0,1.31249133417e-07,324.633215689
6.57492675781e-11,2500.0,1.31249133153e-07,324.633215689
7.57492675781e-11,2500.0,1.31249134161e-07,324.633215689
8.57492675781e-11,2500.0,1.3124914729e-07,324.633215689
8.82492675781e-11,2500.0,1.31308679354e-07,324.633215689
9.01242675781e-11,2500.0,1.42385350327e-07,324.633215689
9.15305175781e-11,2500.0,4.53607471853e-07,324.633215689
9.36398925781e-11,2500.0,2.06845261351e-05,324.633215693
9.52219238281e-11,2500.0,0.000180586847747,324.633215715
9.58151855469e-11,2500.0,0.000162185829992,324.633215726
9.6705078125e-11,2500.0,2.87460578812e-05,324.633215743
9.73525390625e-11,2500.0,3.73205408926e-06,324.633215756
9.8e-11,2500.0,1.74395597626e-06,324.633215768
9.82e-11,2500.0,1.60503804192e-06,324.633215772
9.84e-11,2500.0,1.55223880528e-06,324.633215776
9.86e-11,2500.0,1.51116251547e-06,324.63321578
9.88e-11,2500.0,1.47692589888e-06,324.633215784
9.9e-11,2500.0,1.45065117357e-06,324.633215788
9.92e-11,2500.0,1.43145163445e-06,324.633215792
9.94e-11,2500.0,1.41763234228e-06,324.633215796
9.96e-11,2500.0,1.40767186861e-06,324.6332158
9.98e-11,2500.0,1.40031497786e-06,324.633215804
1e-10,2500.0,1.39443236768e-06,324.633215807
1.002e-10,2500.0,1.3888320174e-06,324.633215811
1.004e-10,2500.0,1.38229038374e-06,324.633215815
1.006e-10,2500.0,1.37393922651e-06,324.633215819
1.008e-10,2500.0,1.36379564113e-06,324.633215823
1.01e-10,2500.0,1.3527957258e-06,324.633215827
1.012e-10,2500.0,1.34212676342e-06,324.633215831
1.014e-10,2500.0,1.3325850196e-06,324.633215835
1.016e-10,2500.0,1.32444192693e-06,324.633215839
1.018e-10,2500.0,1.3176181826e-06,324.633215843
1.02e-10,2500.0,1.31187605377e-06,324.633215847
1.022e-10,2500.0,1.30692791081e-06,324.633215851
1.0248e-10,2500.0,1.30156156583e-06,324.633215856
1.02872e-10,2500.0,1.29523213428e-06,324.633215864
1.034208e-10,2500.0,1.28541842809e-06,324.633215875
1.0418912e-10,2500.0,1.27049696087e-06,324.63321589
1.05264768e-10,2500.0,1.25522402128e-06,324.633215911
1.067706752e-10,2500.0,1.23696435066e-06,324.633215941
1.0887894528e-10,2500.0,1.21309421106e-06,324.633215983
1.11830523392e-10,2500.0,1.18471951331e-06,324.633216043
1.15962732749e-10,2500.0,1.15485344364e-06,324.633216126
1.21747825848e-10,2500.0,1.12777086066e-06,324.633216245
1.25797391018e-10,2500.0,1.10573565737e-06,324.633216329
1.31466782256e-10,2500.0,1.09780804715e-06,324.633216448
1.39403929988e-10,2500.0,1.09837014016e-06,324.633216617
1.50515936814e-10,2500.0,1.10063609573e-06,324.633216858
1.66072746369e-10,2500.0,1.09635225236e-06,324.633217207
1.87852279747e-10,2500.0,1.0850552667e-06,324.633217714
2.18343626477e-10,2500.0,1.07484778075e-06,324.633218462
2.61031511898e-10,2500.0,1.07142371169e-06,324.633219584
3.20794551487e-10,2500.0,1.07564217325e-06,324.633221301
4e-10,2500.0,1.08648894206e-06,324.633223838
4.1e-10,2500.0,1.08691705059e-06,324.633224163
4.24e-10,2500.0,1.08835747992e-06,324.633224625
4.436e-10,2500.0,1.09099235367e-06,324.633225289
4.7104e-10,2500.0,1.0952413397e-06,324.63322625
5.09456e-10,2500.0,1.1018302321e-06,324.633227658
5.632384e-10,2500.0,1.11190121114e-06,324.633229757
6.3853376e-10,2500.0,1.12728149084e-06,324.633232983
7.43947264e-10,2500.0,1.15085586194e-06,324.633238903
8.915261696e-10,2500.0,1.18756807303e-06,324.633262824
1.09813663744e-09,2500.0,1.24761296255e-06,324.633408809
1.38739129242e-09,2500.0,1.34831005407e-06,324.633946372
1.79234780938e-09,2500.0,1.51763603791e-06,324.634953676
2.35928693314e-09,2500.0,1.79242051711e-06,324.636111517
3.15300170639e-09,2500.0,2.18760198851e-06,324.637393483
4.26420238895e-09,2500.0,2.73980588354e-06,324.639467115
