let_mev_cm2_mg,time_s,time_ns,common_window_end_s,thermal_sampling,cold_sampling,ic_thermal_a_um,ic_cold_a_um,ic_ratio_thermal_over_cold,log10_ic_ratio,tmax_thermal_k,tmax_cold_k,absolute_tmax_difference_k,delta_t_thermal_k,delta_t_cold_k,delta_t_difference_k,diagnostic_only,mesh_sensitivity
0.015,1e-08,10.0,6e-08,exact,exact,7.13237068293e-07,7.08552970886e-07,1.0066107935460955,0.002861582878503611,324.641232889,300.011433048,24.629799840999965,0.008017199999983404,0.011212067000030856,-0.003194867000047452,true,MESH_SENSITIVE
0.015,4e-08,40.0,6e-08,exact,exact,4.77821240097e-07,4.9813060811e-07,0.9592288293826039,-0.01807777710100268,324.649765115,300.029165371,24.620599744000003,0.016549425999983214,0.02894438999999238,-0.012394964000009168,true,MESH_SENSITIVE
0.015,6e-08,59.99999999999999,6e-08,exact,exact,5.0569376442e-07,5.27097563039e-07,0.9593930988874325,-0.018003409828727522,324.673030067,300.064300494,24.608729573000005,0.03981437800001686,0.06407951300002424,-0.024265135000007376,true,MESH_SENSITIVE
0.15,1e-08,10.0,6e-08,exact,exact,6.90002215682e-06,7.74903339441e-06,0.8904364977698432,-0.050397047173809245,324.665354837,300.043713506,24.621641330999978,0.03213914799999884,0.04349252500003331,-0.01135337700003447,true,MESH_SENSITIVE
0.15,4e-08,40.0,6e-08,exact,exact,5.9059248062e-07,5.90465645025e-07,1.0002148060536098,9.32790656667902e-05,324.742893477,300.187731929,24.555161548,0.10967778799999905,0.18751094800001056,-0.0778331600000115,true,MESH_SENSITIVE
0.15,6e-08,59.99999999999999,6e-08,exact,exact,5.41994190489e-07,1.56109633215e-05,0.034718817751787645,-1.4594350718773625,324.749411163,300.275981858,24.473429304999968,0.11619547399999419,0.2757608770000388,-0.15956540300004463,true,MESH_SENSITIVE
1.5,1e-08,10.0,6e-08,exact,exact,7.55553928803e-06,8.35931574058e-06,0.9038466212433997,-0.04390526111662221,324.668928458,300.047694981,24.621233476999976,0.035712768999985656,0.04747400000002244,-0.011761231000036787,true,MESH_SENSITIVE
1.5,4e-08,40.0,6e-08,exact,exact,8.81040663347e-05,0.000100974328575,0.8725392639700452,-0.05921502082511192,325.582389894,308.198626427,17.383763466999994,0.9491742050000198,8.198405446000038,-7.249231241000018,true,MESH_SENSITIVE
1.5,6e-08,59.99999999999999,6e-08,exact,exact,8.53168579547e-05,9.05136704723e-05,0.9425853300337611,-0.025679323684133226,326.456434834,314.489899496,11.966535337999971,1.823219144999996,14.489678515000037,-12.666459370000041,true,MESH_SENSITIVE
15.0,1e-08,10.0,6e-08,exact,exact,7.85368722348e-06,8.70990284628e-06,0.9016963061573426,-0.044939709429735485,324.670146728,300.065752038,24.604394689999992,0.0369310390000237,0.0655310570000438,-0.0286000180000201,true,MESH_SENSITIVE
15.0,4e-08,40.0,6e-08,exact,exact,0.000133712875878,0.000165058154231,0.8100955478447186,-0.09146375463434168,326.123112142,306.303559284,19.81955285800001,1.4898964530000285,6.303338303000032,-4.813441850000004,true,MESH_SENSITIVE
15.0,6e-08,59.99999999999999,6e-08,exact,exact,0.000618470808908,0.000812775499366,0.760936826209001,-0.11865139732625306,336.930591687,339.677254315,-2.746662628000024,12.297375998000007,39.67703333400004,-27.379657336000037,true,MESH_SENSITIVE
150.0,1e-08,10.0,6e-08,exact,exact,8.11137519321e-06,9.0165438934e-06,0.8996102374821718,-0.04594561097682593,324.671123005,300.314872338,24.35625066700004,0.03790731600003028,0.31464803099999017,-0.2767407149999599,true,MESH_SENSITIVE
150.0,4e-08,40.0,6e-08,exact,exact,0.000205117957152,0.000242827048283,0.8447080282133463,-0.07329337820733112,326.658868114,304.056035517,22.602832596999974,2.0256524249999757,4.055811210000002,-2.030158785000026,true,MESH_SENSITIVE
150.0,6e-08,59.99999999999999,6e-08,exact,exact,0.00122773398064,0.00159000611379,0.7721567671922505,-0.11229451803890265,344.196903684,329.551431726,14.64547195800003,19.56368799500001,29.55120741899998,-9.98751942399997,true,MESH_SENSITIVE
