mode,top_voltage_v,top_current_a_per_um,abs_top_current_a_per_um
forward,0.0,-4.81422873418321e-19,4.81422873418321e-19
forward,0.0,2.18068268385341e-20,2.18068268385341e-20
forward,0.0012,1.13027201155848e-17,1.13027201155848e-17
forward,0.002816,2.65173351179154e-17,2.65173351179154e-17
forward,0.0050784,4.90605376440885e-17,4.90605376440885e-17
forward,0.00818542933333333,8.17439785437798e-17,8.17439785437798e-17
forward,0.0124524162844444,1.30296218997256e-16,1.30296218997256e-16
forward,0.0183124116973037,2.04797585231367e-16,2.04797585231367e-16
forward,0.0263601387309638,3.24591592462386e-16,3.24591592462386e-16
forward,0.0374123505238569,5.29680527868789e-16,5.29680527868789e-16
forward,0.0525907213860968,9.16064198535276e-16,9.16064198535276e-16
forward,0.0734356840369063,1.74953703192241e-15,1.74953703192241e-15
forward,0.102062766077351,3.94624627184232e-15,3.94624627184232e-15
forward,0.141377292079562,1.17771228528041e-14,1.17771228528041e-14
forward,0.19432085376254,5.49131656889278e-14,5.49131656889278e-14
forward,0.25432085376254,3.64241948811879e-13,3.64241948811879e-13
forward,0.31432085376254,2.79977234086002e-12,2.79977234086002e-12
forward,0.37432085376254,2.4397555371537e-11,2.4397555371537e-11
forward,0.43432085376254,2.27066176918877e-10,2.27066176918877e-10
forward,0.49432085376254,2.06183275594811e-09,2.06183275594811e-09
forward,0.55432085376254,1.61150263932892e-08,1.61150263932892e-08
forward,0.61432085376254,9.22560042977338e-08,9.22560042977338e-08
forward,0.67432085376254,3.53932434358132e-07,3.53932434358132e-07
forward,0.73432085376254,9.58258542613767e-07,9.58258542613767e-07
forward,0.79432085376254,2.02784366073009e-06,2.02784366073009e-06
forward,0.85432085376254,3.6379953332827e-06,3.6379953332827e-06
forward,0.91432085376254,5.8315412794645e-06,5.8315412794645e-06
forward,0.97432085376254,8.63189313559558e-06,8.63189313559558e-06
forward,1.03432085376254,1.20507480910114e-05,1.20507480910114e-05
forward,1.09432085376254,1.60924439969717e-05,1.60924439969717e-05
forward,1.15432085376254,2.07565041502822e-05,2.07565041502822e-05
forward,1.2,2.47223979245097e-05,2.47223979245097e-05
reverse,0.0,-4.81422873418321e-19,4.81422873418321e-19
reverse,0.0,2.18068268385341e-20,2.18068268385341e-20
reverse,-0.0999999955052941,-4.49477311176275e-16,4.49477311176275e-16
reverse,-0.231999993171166,-6.82924448843104e-16,6.82924448843104e-16
reverse,-0.409759991223626,-8.77606601797991e-16,8.77606601797991e-16
reverse,-0.649143456224887,-1.04397650953348e-15,1.04397650953348e-15
reverse,-0.971513189921691,-1.18560374755852e-15,1.18560374755852e-15
reverse,-1.40563776534738,-1.30441833732392e-15,1.30441833732392e-15
reverse,-1.99025886086424,-1.4041028923269e-15,1.4041028923269e-15
reverse,-2.77754860334339,-1.48620228859349e-15,1.48620228859349e-15
reverse,-3.83776545698106,-1.55340113502936e-15,1.55340113502936e-15
reverse,-5.2655241535714,-1.60872171313909e-15,1.60872171313909e-15
reverse,-7.18823919860687,-1.65257457860532e-15,1.65257457860532e-15
reverse,-9.77749545949264,-1.68919248767008e-15,1.68919248767008e-15
reverse,-13.1262668904173,-1.71764154742851e-15,1.71764154742851e-15
reverse,-17.5466451793737,-1.74225004895544e-15,1.74225004895544e-15
reverse,-22.5466451792299,-1.75613093418484e-15,1.75613093418484e-15
reverse,-27.5466451790519,-1.77385458149311e-15,1.77385458149311e-15
reverse,-32.5466451789554,-1.78348158905597e-15,1.78348158905597e-15
reverse,-37.5466451789346,-1.78557526128775e-15,1.78557526128775e-15
reverse,-42.5466451789145,-1.78758069722553e-15,1.78758069722553e-15
reverse,-47.5466451788711,-1.79192589401014e-15,1.79192589401014e-15
reverse,-52.5466451787834,-1.800690144642e-15,1.800690144642e-15
reverse,-57.5466451786875,-1.81028761746845e-15,1.81028761746845e-15
reverse,-62.546645178635,-1.81553580795413e-15,1.81553580795413e-15
reverse,-67.5466451786158,-1.81745918257679e-15,1.81745918257679e-15
reverse,-72.5466451786077,-1.81826899306243e-15,1.81826899306243e-15
reverse,-77.5466451786023,-1.81880913884011e-15,1.81880913884011e-15
reverse,-82.546645178597,-1.8193363384763e-15,1.8193363384763e-15
reverse,-87.5466451785905,-1.81998669402547e-15,1.81998669402547e-15
reverse,-92.5466451785813,-1.82091455447409e-15,1.82091455447409e-15
reverse,-97.546645178567,-1.82233503773657e-15,1.82233503773657e-15
reverse,-99.999999981767,-1.82329784453062e-15,1.82329784453062e-15
