relative_path,kind,status,source,size,sha,purpose,boundary
00_交付说明/00_交付说明.md,documentation,included,delivery metadata,1161,3c62d78f4323af05438a7c653acce0817e3f1b0fdf4ebe93056c775e96896ba1,final delivery evidence or reproducible input,see package README
00_交付说明/650V重设计边界.md,documentation,included,delivery metadata,345,2e85995a3e784cb1a63c78d547a1aae6631eb33289b261e64d988eaf15ac6f56,final delivery evidence or reproducible input,see package README
00_交付说明/GZP验证记录.json,structured_data,included,delivery metadata,1342,ee9ecc532e92bfede2941fea2580ac0a7585836a65a60f5a5d7a921318ad23fe,final delivery evidence or reproducible input,see package README
00_交付说明/GZP验证记录.md,documentation,included,delivery metadata,992,705acee77addf6d253ffcf374bde93e16192d0c46dbe82410ab16f5efd29adf6,final delivery evidence or reproducible input,see package README
00_交付说明/来源清单.csv,structured_data,included,delivery metadata,1403,f016d38596c530abd5c00ac643a705208848e6b29078560841bb6a91e09cbfcd,final delivery evidence or reproducible input,see package README
00_交付说明/来源版本与边界.md,documentation,included,delivery metadata,977,16c3d7d95a0b6483d1a275febe8adc212b0df2b73a7ec3ad2a4967971e3278bb,final delivery evidence or reproducible input,see package README
01_IGBT可继续仿真工程/IGBT_SEB_20260714_Final_Continuation.gzp,verified_workbench_package,included,verified 20260714 continuation package,10494473,30a49adba4b5e50b823e39d98f84915f4a02462044c33269f1280831bd0ffa2c,final delivery evidence or reproducible input,see package README
01_IGBT可继续仿真工程/inputs/campaign_manifest.json,structured_data,included,delivery metadata,5850,972351975dcbc686f784bf2b63788a83ab82c20c0ddecf049e9b36217a5ac0b4,final delivery evidence or reproducible input,see package README
01_IGBT可继续仿真工程/inputs/case_matrix.csv,structured_data,included,delivery metadata,1463,547e6a2c99af384f75a6a97e893a8e6bb82eb09a3dba59460f612e9010b457cd,final delivery evidence or reproducible input,see package README
01_IGBT可继续仿真工程/inputs/cases/IGBT_T243_V550_L15/IGBT_T243_V550_L15_dc.cmd,reproduction_input_or_script,included,delivery metadata,1459,d3016d7c599e8261f70e04a47e99b1336ec46956458e90d1e0ec4232cf8aaa30,final delivery evidence or reproducible input,see package README
01_IGBT可继续仿真工程/inputs/cases/IGBT_T243_V550_L15/IGBT_T243_V550_L15_dc.json,structured_data,included,delivery metadata,977,b7e0507e22f6646bee4067d638431ed9941d92b250edda67d451c01c579ebf56,final delivery evidence or reproducible input,see package README
01_IGBT可继续仿真工程/inputs/cases/IGBT_T243_V550_L15/IGBT_T243_V550_L15_transient.cmd,reproduction_input_or_script,included,delivery metadata,5714,7e7865a6a12fc0a16c06b96561d093efbce38f2f2993302309826679bbfc5906,final delivery evidence or reproducible input,see package README
01_IGBT可继续仿真工程/inputs/cases/IGBT_T243_V550_L15/IGBT_T243_V550_L15_transient.json,structured_data,included,delivery metadata,1010,a2d7096ed9a6d2b6bfa98a228c6e26eecc88108dd9111d0508b2c341794ae36b,final delivery evidence or reproducible input,see package README
