time_s,collector_inner_voltage_v,collector_total_current_a_um,tmax_k
1e-13,2500.0,1.31235387961e-07,324.633215689
2.5e-13,2500.0,1.31249127504e-07,324.633215689
4.75e-13,2500.0,1.3124913434e-07,324.633215689
8.125e-13,2500.0,1.3124913084e-07,324.633215689
1.31875e-12,2500.0,1.31249131705e-07,324.633215689
2.078125e-12,2500.0,1.31249136954e-07,324.633215689
3.2171875e-12,2500.0,1.31249132345e-07,324.633215689
4.92578125e-12,2500.0,1.31249133479e-07,324.633215689
7.488671875e-12,2500.0,1.3124913413e-07,324.633215689
1.13330078125e-11,2500.0,1.31249133418e-07,324.633215689
1.70995117188e-11,2500.0,1.31249132798e-07,324.633215689
2.57492675781e-11,2500.0,1.31249132996e-07,324.633215689
3.57492675781e-11,2500.0,1.31249132691e-07,324.633215689
4.57492675781e-11,2500.0,1.31249134988e-07,324.633215689
5.57492675781e-11,2500.0,1.31249133417e-07,324.633215689
6.57492675781e-11,2500.0,1.31249133153e-07,324.633215689
7.57492675781e-11,2500.0,1.31249134161e-07,324.633215689
8.57492675781e-11,2500.0,1.31249131598e-07,324.633215689
9.57492675781e-11,2500.0,1.78532116145e-07,324.633215689
9.8e-11,2500.0,5.78565610063e-07,324.63321569
9.82e-11,2500.0,6.49993875458e-07,324.63321569
9.84e-11,2500.0,7.28220780283e-07,324.63321569
9.86e-11,2500.0,8.129972367e-07,324.63321569
9.88e-11,2500.0,9.03947899359e-07,324.63321569
9.9e-11,2500.0,1.00054505068e-06,324.63321569
9.92e-11,2500.0,1.1021148286e-06,324.63321569
9.94e-11,2500.0,1.20784827931e-06,324.63321569
9.96e-11,2500.0,1.31681940247e-06,324.63321569
9.98e-11,2500.0,1.42800892005e-06,324.63321569
1e-10,2500.0,1.54033235457e-06,324.63321569
1.002e-10,2500.0,1.65267158308e-06,324.63321569
1.004e-10,2500.0,1.76390807866e-06,324.63321569
1.006e-10,2500.0,1.8729560347e-06,324.63321569
1.008e-10,2500.0,1.97879399359e-06,324.63321569
1.01e-10,2500.0,2.08049327699e-06,324.63321569
1.012e-10,2500.0,2.17724204594e-06,324.63321569
1.014e-10,2500.0,2.26836385997e-06,324.63321569
1.016e-10,2500.0,2.35332981966e-06,324.63321569
1.018e-10,2500.0,2.4317648836e-06,324.63321569
1.02e-10,2500.0,2.5034473348e-06,324.63321569
1.022e-10,2500.0,2.5682982325e-06,324.63321569
1.0248e-10,2500.0,2.64775774875e-06,324.63321569
1.02872e-10,2500.0,2.73785768965e-06,324.63321569
1.034208e-10,2500.0,2.82749948371e-06,324.633215691
1.0418912e-10,2500.0,2.89855480595e-06,324.633215691
1.05264768e-10,2500.0,2.93585478135e-06,324.633215692
1.067706752e-10,2500.0,2.94332404865e-06,324.633215693
1.0887894528e-10,2500.0,2.93825264116e-06,324.633215696
1.11830523392e-10,2500.0,2.92856322649e-06,324.6332157
1.15962732749e-10,2500.0,2.91384148586e-06,324.633215708
1.21747825848e-10,2500.0,2.8922067188e-06,324.633215723
1.29846956188e-10,2500.0,2.86103494896e-06,324.633215752
1.41185738663e-10,2500.0,2.81645484203e-06,324.633215808
1.57060034128e-10,2500.0,2.75094060003e-06,324.633215914
1.79284047779e-10,2500.0,2.64794893966e-06,324.633216115
2.1039766689e-10,2500.0,2.47305343671e-06,324.633216494
2.53956733647e-10,2500.0,2.15950969763e-06,324.63321719
3.14939427105e-10,2500.0,1.68295904745e-06,324.633218413
4e-10,2500.0,1.29892996054e-06,324.633220484
4.1e-10,2500.0,1.25677192215e-06,324.633220733
4.24e-10,2500.0,1.21440367704e-06,324.63322109
4.436e-10,2500.0,1.17554063636e-06,324.633221607
4.7104e-10,2500.0,1.14289665361e-06,324.633222364
5.09456e-10,2500.0,1.11762848802e-06,324.633223487
5.632384e-10,2500.0,1.10024096658e-06,324.633225182
6.3853376e-10,2500.0,1.09184014171e-06,324.633227802
7.43947264e-10,2500.0,1.09474223496e-06,324.633232172
8.915261696e-10,2500.0,1.11301507858e-06,324.633244608
1.09813663744e-09,2500.0,1.15408278428e-06,324.633321572
1.38739129242e-09,2500.0,1.23096378076e-06,324.633677083
1.79234780938e-09,2500.0,1.36454019661e-06,324.634514721
2.35928693314e-09,2500.0,1.58095938208e-06,324.635592745
3.15300170639e-09,2500.0,1.80171145692e-06,324.636705997
4.26420238895e-09,2500.0,1.66135146576e-06,324.637858303
5.04204286673e-09,2500.0,1.49846651098e-06,324.63852935
6.13101953564e-09,2500.0,1.26579131845e-06,324.639287359
7.65558687211e-09,2500.0,9.90955854129e-07,324.640159725
9.78998114316e-09,2500.0,7.36404463614e-07,324.641138796
1e-08,2500.0,7.13237068293e-07,324.641232889
1.001e-08,2500.0,7.12154147502e-07,324.641237364
1.0024e-08,2500.0,7.10672224751e-07,324.641243619
1.00436e-08,2500.0,7.08639552067e-07,324.641252357
1.007104e-08,2500.0,7.05854094888e-07,324.641264552
1.0109456e-08,2500.0,7.020490512e-07,324.641281553
