time_s,collector_inner_voltage_v,collector_total_current_a_um,tmax_k
1e-13,2500.0,1.30343088781e-07,300.000002939
2.5e-13,2500.0,1.30358649285e-07,300.000006421
4.75e-13,2500.0,1.30358664306e-07,300.000010564
8.125e-13,2500.0,1.30358656829e-07,300.000015534
1.31875e-12,2500.0,1.30358661742e-07,300.000021527
2.078125e-12,2500.0,1.30358666673e-07,300.000028756
3.2171875e-12,2500.0,1.30358661423e-07,300.000037448
4.92578125e-12,2500.0,1.30358660623e-07,300.000047952
7.488671875e-12,2500.0,1.3035866218e-07,300.000060576
1.13330078125e-11,2500.0,1.30358662089e-07,300.00007594
1.70995117188e-11,2500.0,1.30358661945e-07,300.000094695
2.57492675781e-11,2500.0,1.30358659572e-07,300.000117643
3.57492675781e-11,2500.0,1.30358659713e-07,300.000139998
4.57492675781e-11,2500.0,1.30358660845e-07,300.000159522
5.57492675781e-11,2500.0,1.30358660196e-07,300.000176978
6.57492675781e-11,2500.0,1.30358659723e-07,300.000192841
7.57492675781e-11,2500.0,1.30358658488e-07,300.000207433
8.57492675781e-11,2500.0,1.30358673421e-07,300.000220981
8.82492675781e-11,2500.0,1.30419114713e-07,300.000224307
9.01242675781e-11,2500.0,1.41665206765e-07,300.000226766
9.29367675781e-11,2500.0,6.02698767813e-06,300.004019997
9.50461425781e-11,2500.0,0.000146178854781,300.024351566
9.57846069336e-11,2500.0,0.000140769327188,300.025281609
9.68923034668e-11,2500.0,2.02478542587e-05,300.025789898
9.8e-11,2500.0,2.38798558018e-06,300.028945305
9.82e-11,2500.0,1.6814422956e-06,300.029398929
9.84e-11,2500.0,1.55793538022e-06,300.029750843
9.86e-11,2500.0,1.50414623907e-06,300.030019151
9.88e-11,2500.0,1.47157653822e-06,300.030221407
9.9e-11,2500.0,1.45026450541e-06,300.030373178
9.92e-11,2500.0,1.43576055749e-06,300.030487524
9.94e-11,2500.0,1.42547192037e-06,300.030741588
9.96e-11,2500.0,1.41765109049e-06,300.031074942
9.98e-11,2500.0,1.41087321829e-06,300.031375804
1e-10,2500.0,1.40381975925e-06,300.031650829
1.002e-10,2500.0,1.39545670027e-06,300.031905767
