time_s,collector_inner_voltage_v,collector_total_current_a_um,tmax_k
1e-13,2500.0,1.30343088781e-07,300.000002939
2.5e-13,2500.0,1.30358649285e-07,300.000006421
4.75e-13,2500.0,1.30358664306e-07,300.000010564
8.125e-13,2500.0,1.30358656829e-07,300.000015534
1.31875e-12,2500.0,1.30358661742e-07,300.000021527
2.078125e-12,2500.0,1.30358666673e-07,300.000028756
3.2171875e-12,2500.0,1.30358661423e-07,300.000037448
4.92578125e-12,2500.0,1.30358660623e-07,300.000047952
7.488671875e-12,2500.0,1.3035866218e-07,300.000060576
1.13330078125e-11,2500.0,1.30358662089e-07,300.00007594
1.70995117188e-11,2500.0,1.30358661945e-07,300.000094695
2.57492675781e-11,2500.0,1.30358659572e-07,300.000117643
3.57492675781e-11,2500.0,1.30358659713e-07,300.000139998
4.57492675781e-11,2500.0,1.30358660845e-07,300.000159522
5.57492675781e-11,2500.0,1.30358660196e-07,300.000176978
6.57492675781e-11,2500.0,1.30358659723e-07,300.000192841
7.57492675781e-11,2500.0,1.30358658488e-07,300.000207433
8.57492675781e-11,2500.0,1.30358658853e-07,300.000220981
9.57492675781e-11,2500.0,4.87990335838e-06,300.007671251
9.8e-11,2500.0,4.3433584613e-05,300.024620262
9.82e-11,2500.0,5.00928918116e-05,300.026339842
9.84e-11,2500.0,5.72598443307e-05,300.02825242
9.86e-11,2500.0,6.485267669e-05,300.030338272
9.88e-11,2500.0,7.27564966556e-05,300.032566635
9.9e-11,2500.0,8.08151313385e-05,300.034894898
9.92e-11,2500.0,8.8821735164e-05,300.037268469
9.94e-11,2500.0,9.65065046303e-05,300.039621603
9.96e-11,2500.0,0.000103519869794,300.041881135
9.98e-11,2500.0,0.000109409288051,300.043980005
1e-10,2500.0,0.000113589565856,300.045830186
1.002e-10,2500.0,0.00011531490269,300.047363824
1.004e-10,2500.0,0.000113682621371,300.048536572
1.006e-10,2500.0,0.000107742866645,300.049341421
1.008e-10,2500.0,9.68478706033e-05,300.049816035
1.01e-10,2500.0,8.13134286993e-05,300.050034351
1.012e-10,2500.0,6.30222761714e-05,300.050082523
1.014e-10,2500.0,4.5052489363e-05,300.050033687
