let_mev_cm2_mg,initial_state,case_id,run_id,time_s,vce_v,ic_a_um,tmax_k,tpre_k,delta_t_k,power_w_um,source_path,source_sha256,source_row
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1e-13,2500.0,1.31235387961e-07,324.633215689,324.633215689,0.0,0.00032808846990250003,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,2
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,2.5e-13,2500.0,1.31249127504e-07,324.633215689,324.633215689,0.0,0.00032812281876000004,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,3
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,4.75e-13,2500.0,1.3124913434e-07,324.633215689,324.633215689,0.0,0.00032812283585,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,4
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,8.125e-13,2500.0,1.3124913084e-07,324.633215689,324.633215689,0.0,0.00032812282709999995,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,5
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.31875e-12,2500.0,1.31249131705e-07,324.633215689,324.633215689,0.0,0.0003281228292625,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,6
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,2.078125e-12,2500.0,1.31249136954e-07,324.633215689,324.633215689,0.0,0.000328122842385,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,7
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,3.2171875e-12,2500.0,1.31249132345e-07,324.633215689,324.633215689,0.0,0.00032812283086250003,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,8
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,4.92578125e-12,2500.0,1.31249133479e-07,324.633215689,324.633215689,0.0,0.0003281228336975,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,9
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,7.488671875e-12,2500.0,1.3124913413e-07,324.633215689,324.633215689,0.0,0.000328122835325,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,10
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.13330078125e-11,2500.0,1.31249133418e-07,324.633215689,324.633215689,0.0,0.00032812283354500003,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,11
0.015,thermal-steady,A01_v2500_let0p015_y3p5_thermal,A01_v2500_let0p015_y3p5_thermal__recovery40p7to60_v1__20260715T062738672Z__8838285d,1.70995117188e-11,2500.0,1.31249132798e-07,324.633215689,324.633215689,0.0,0.000328122831995,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let0p015_thermal_raw.csv,624d73c726161ba944608ed7232b20eeb68cca886cac779c6d2bbe256bf3f23b,12
